Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Dick Allen,21,35,488,14,1630,5916,1045,1751,1037,299,76,339,1057.0,714,122.0,50.0,836,1447.0,3219,145.0,14.0,18.0,49.0,134.0,59.1,4.2,4.7,0.296,0.435,0.544,0.979,6,0,0,0,1,0,3,8,0,5,1,hof
Dick McAuliffe,21,35,476,15,1755,6158,886,1523,1025,231,70,197,695.0,498,63.0,59.0,880,968.0,2485,76.0,33.0,32.0,30.0,59.0,37.599999999999994,2.5,2.6,0.247,0.392,0.404,0.796,3,0,0,0,0,0,4,12,0,3,0,retired
Don Baylor,21,39,501,18,2202,7858,1197,2050,1337,354,26,333,1225.0,713,279.0,114.0,781,1037.0,3455,187.0,256.0,16.0,110.0,87.0,29.999999999999996,1.7,1.7,0.261,0.375,0.44,0.815,1,0,3,0,1,0,10,14,3,0,1,retired
Don Buford,26,35,535,10,1286,4553,718,1203,909,157,44,93,418.0,294,200.0,105.0,672,575.0,1727,34.0,41.0,47.0,34.0,57.0,36.099999999999994,3.6,9.6,0.264,0.414,0.379,0.793,1,0,0,0,0,0,7,9,0,1,0,retired
Don Mattingly,21,34,552,14,1785,7003,1007,2153,1469,442,20,222,1099.0,684,14.0,9.0,588,444.0,3301,191.0,21.0,13.0,96.0,136.0,42.400000000000006,3.0,4.8,0.307,0.388,0.471,0.859,6,9,3,0,1,0,3,4,2,7,1,retired
Don Money,21,36,437,16,1720,6215,798,1623,1109,302,36,176,729.0,514,80.0,51.0,600,866.0,2525,121.0,40.0,90.0,53.0,45.0,36.5,2.3,1.5,0.261,0.359,0.406,0.765,2,0,0,0,0,0,5,14,0,2,0,retired
Doug DeCinces,22,36,436,15,1649,5809,778,1505,927,312,29,237,879.0,578,58.0,48.0,618,904.0,2586,176.0,21.0,22.0,64.0,57.0,41.89999999999999,2.8,5.7,0.259,0.364,0.445,0.809,1,0,1,0,0,0,5,13,1,1,0,retired
Duke Snider,21,36,497,16,2012,6911,1237,2061,1226,348,84,403,1311.0,835,97.0,72.0,946,1173.0,3786,164.0,20.0,50.0,32.0,150.0,66.9,4.2,4.8,0.298,0.435,0.548,0.983,1,0,0,0,0,0,8,15,0,1,0,hof
Dustin Pedroia,22,35,484,14,1512,6031,922,1805,1256,394,15,140,725.0,549,138.0,46.0,624,654.0,2649,154.0,38.0,25.0,59.0,25.0,51.99999999999999,3.7,1.9,0.299,0.403,0.439,0.842,2,4,1,0,1,0,4,10,0,3,1,retired
Dusty Baker,19,37,422,19,2039,7117,964,1981,1396,320,23,242,1013.0,585,137.0,73.0,762,926.0,3073,158.0,30.0,27.0,85.0,52.0,37.1,2.0,3.6,0.278,0.383,0.432,0.815,2,1,2,0,0,0,7,16,2,1,0,retired
